sample_id,depth_m,porosity,permeability_mD,rock_type
S-001,2003.96,0.1798,3.908,Sandstone
S-002,2003.93,0.1417,3.404,Shale
S-003,2023.96,0.1889,3.463,Sandstone
S-004,2018.41,0.2414,4.57,Sandstone
S-005,2036.83,0.136,4.339,Limestone
S-006,2053.33,0.136,5.042,Sandstone
S-007,2045.89,0.2448,6.357,Dolomite
S-008,2056.49,0.196,6.465,Dolomite
S-009,2068.29,0.1218,3.532,Dolomite
S-010,2073.75,0.1826,3.793,Sandstone
S-011,2076.99,0.1222,3.539,Sandstone
S-012,2093.56,0.1221,4.894,Dolomite
S-013,2096.38,0.1645,4.046,Limestone
S-014,2112.54,0.0352,2.991,Dolomite
S-015,2114.05,0.0465,1.004,Dolomite
S-016,2134.87,0.1163,3.884,Dolomite
S-017,2131.68,0.0892,2.713,Sandstone
S-018,2142.46,0.1689,3.857,Sandstone
S-019,2156.61,0.0955,2.817,Dolomite
S-020,2154.86,0.0653,1.332,Sandstone
S-021,2170.63,0.2379,5.868,Sandstone
S-022,2184.5,0.1365,3.837,Limestone
S-023,2178.4,0.1541,5.787,Dolomite
S-024,2195.84,0.0645,1.991,Shale
S-025,2204.69,0.1173,2.491,Limestone
S-026,2215.77,0.1567,3.4,Sandstone
S-027,2214.15,0.0809,3.252,Limestone
S-028,2222.21,0.1725,4.686,Dolomite
S-029,2239.9,0.114,2.638,Sandstone
S-030,2247.25,0.1325,3.916,Limestone
S-031,2255.49,0.1139,3.136,Dolomite
S-032,2264.44,0.2611,9.313,Shale
S-033,2267.79,0.1492,3.081,Shale
S-034,2280.82,0.0865,2.382,Shale
S-035,2289.6,0.1994,4.481,Sandstone
S-036,2293.04,0.0767,1.645,Sandstone
S-037,2314.41,0.1625,4.384,Shale
S-038,2315.93,0.0324,2.053,Shale
S-039,2316.08,0.0703,2.379,Dolomite
S-040,2333.79,0.1618,3.77,Dolomite
S-041,2334.11,0.1943,3.28,Limestone
S-042,2351.39,0.1603,3.55,Limestone
S-043,2361.73,0.1431,3.285,Shale
S-044,2360.3,0.1319,2.714,Limestone
S-045,2377.7,0.0613,2.157,Shale
S-046,2383.42,0.1068,3.277,Shale
S-047,2393.94,0.1224,5.398,Dolomite
S-048,2407.79,0.2134,5.682,Sandstone
S-049,2405.55,0.1706,4.544,Sandstone
S-050,2411.49,0.0442,2.003,Sandstone
S-051,2419.28,0.1694,2.474,Limestone
S-052,2428.12,0.1269,3.266,Sandstone
S-053,2440.29,0.1094,3.025,Limestone
S-054,2450.86,0.1867,9.169,Limestone
S-055,2459.01,0.2119,5.088,Sandstone
S-056,2470.24,0.2059,5.635,Limestone
S-057,2474.64,0.0996,2.786,Sandstone
S-058,2490.32,0.1314,2.446,Sandstone
S-059,2490.2,0.1699,5.779,Shale
S-060,2513.6,0.2085,6.48,Sandstone
